DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,district,h_glucose_all_ma_q1,h_glucose_ur_ma,h_glucose_ru_ma,hh_glucose_all_ma_q1,hh_glucose_ur_ma,hh_glucose_ru_ma,l_glucose_all_ma_q1,l_glucose_ur_ma,l_glucose_ru_ma,h_bp_all_ma,h_bp_ur_ma,h_bp_ru_ma,l_bp_all_ma,l_bp_ur_ma,l_bp_ru_ma,hh_bp_all_ma,hh_bp_ur_ma,hh_bp_ru_ma,hhh_bp_all_ma,hhh_bp_ur_ma,hhh_bp_ru_ma,hhhh_bp_all_ma,hhhh_bp_ur_ma,hhhh_bp_ru_ma,hh_cbp_all_ma,hh_cbp_ur_ma,hh_cbp_ru_ma,h_cbp_all_ma,h_cbp_ur_ma,h_cbp_ru_ma,l_cbp_all_ma,l_cbp_ur_ma,l_cbp_ru_ma,h_glucose_all_ma_q2,hh_glucose_all_ma_q2,l_glucose_all_ma_q2,h_glucose_all_ma_q3,hh_glucose_all_ma_q3,l_glucose_all_ma_q3,h_glucose_all_ma_q4,hh_glucose_all_ma_q4,l_glucose_all_ma_q4,h_glucose_all_ma_q5,hh_glucose_all_ma_q5,l_glucose_all_ma_q5
Mandi,Himachal Pradesh,2,27,27,0.428384155,0.217821181,0.419552982,0.381594241,0.670439005,0.398801237,0.190021619,0.111739829,0.181645781,0.244764656,0.335219502,0.243699282,0,0,0,0.150944367,0.111739829,0.137350097,0.498322368,0.223479658,0.498830855,0.216832355,0.223479658,0.24578841,0.058258239,0.217821181,0.032286558,0.678204358,0.446959317,0.70273447,0.263537437,0.335219502,0.264978975,0.428384155,0.381594241,0.190021619,0.428384155,0.381594241,0.190021619,0.383072495,0.543110132,0.073817365,0.428384155,0.381594241,0.190021619
Hamirpur,Himachal Pradesh,2,28,28,0.483792424,0.741185904,0.487812698,0.516207576,0.258814096,0.512187302,0,0,0,0.09403231,0.258814096,0.117297351,0,0,0,0,0.258814096,0,0.905967712,0.482371807,0.882702649,0.092265069,0,0.115092874,0.092265069,0,0.115092874,0.503419101,0.741185904,0.380557328,0.404315829,0.258814096,0.504349828,0.483792424,0.516207576,0,0.483792424,0.516207576,0,0.453118086,0.546881914,0,0.483792424,0.516207576,0
Una,Himachal Pradesh,2,29,29,0.344095618,0,0.382815808,0.512375295,1,0.457504123,0.143529117,0,0.159680083,0.302008718,0.5,0.279729277,0,0,0,0.101187669,0,0.112574056,0.513675511,0.5,0.515214384,0.191062123,0,0.212561861,0.045882083,0,0.051045079,0.479601234,0.5,0.4773058,0.47451669,0.5,0.47164911,0.344095618,0.512375295,0.143529117,0.344095618,0.512375295,0.143529117,0.461559832,0.417278081,0.121162079,0.344095618,0.512375295,0.143529117
Bilaspur,Himachal Pradesh,2,30,30,0.535188615,0,0.418760896,0.39399156,1,0.492680043,0.070819855,0,0.088559076,0.173043877,1,0.216388553,0,0,0,0.274629772,0,0.218178183,0.552326381,0,0.565433264,0.114274368,0,0.142898247,0,0,0,0.431921691,0,0.289627314,0.568078279,1,0.710372686,0.535188615,0.39399156,0.070819855,0.535188615,0.39399156,0.070819855,0.503921449,0.452789485,0.043289058,0.535188615,0.39399156,0.070819855
Solan,Himachal Pradesh,2,31,31,0.343034089,0.717792213,0.338447064,0.57450074,0.282207757,0.661552906,0.082465172,0,0,0.435766965,0.391312301,0.446958631,0.075506054,0,0,0.041052449,0,0.051935051,0.409598798,0.49615097,0.452937096,0.075828746,0.112536728,0.095930204,0,0,0,0.4648844,0.453475535,0.444837719,0.5351156,0.546524465,0.555162251,0.343034089,0.57450074,0.082465172,0.343034089,0.57450074,0.082465172,0.30997175,0.581282318,0.10874594,0.343034089,0.57450074,0.082465172
Sirmaur,Himachal Pradesh,2,32,32,0.409234822,0.635920405,0.385069132,0.52705276,0.364079595,0.531572342,0.063712433,0,0.083358556,0.283936381,0.212361932,0.281153619,0,0,0,0.113764748,0,0.121972248,0.484271169,0.576441526,0.468081892,0.249357522,0.575276136,0.301888734,0.022025485,0,0.029030226,0.473813117,0,0.513808787,0.504161417,1,0.457161009,0.409234822,0.52705276,0.063712433,0.409234822,0.52705276,0.063712433,0.411579132,0.390640497,0.197780371,0.409234822,0.52705276,0.063712433
Shimla,Himachal Pradesh,2,33,33,0.384930789,0.530377448,0.410586685,0.498701751,0.161439165,0.524503827,0.116367444,0.308183372,0.064909458,0.219277129,0.134283483,0.283877879,0,0,0,0,0,0,0.621445715,0.685428858,0.509920657,0.311063498,0.299646765,0.298727542,0.021962898,0,0.02843334,0.44993788,0.43061775,0.445195556,0.528099239,0.56938225,0.526371121,0.384930789,0.498701751,0.116367444,0.384930789,0.498701751,0.116367444,0.402668744,0.510752439,0.086578839,0.384930789,0.498701751,0.116367444
Kinnaur,Himachal Pradesh,2,34,34,0.339439988,,0.328631938,0.632735252,,0.643088043,0.027824773,,0.02828004,0.329348803,,0.329348803,0.057188604,,0.057188604,0.074303076,,0.074303076,0.40236339,,0.40236339,0.254624754,,0.254624754,0,,0,0.485474616,,0.485474616,0.514525414,,0.514525414,0.339439988,0.632735252,0.027824773,0.339439988,0.632735252,0.027824773,0.392115265,0.574064016,0.033820719,0.339439988,0.632735252,0.027824773
Gurdaspur,Punjab,3,35,35,0.463389158,0.37697804,0.353739023,0.416489691,0.62302196,0.505773127,0.120121144,0,0.14048785,0.214050859,0.305652976,0.336513072,0.027253399,0.057198357,0,0.175389245,0.113160409,0.083826497,0.468894631,0.378214359,0.407032222,0.155097112,0.201735944,0.172628209,0.089571737,0.057198357,0.074023381,0.684416831,0.716459274,0.663275957,0.226011455,0.22634235,0.262700647,0.463389158,0.416489691,0.120121144,0.463389158,0.416489691,0.120121144,0.431822717,0.459796637,0.108380668,0.463389158,0.416489691,0.120121144
Kapurthala,Punjab,3,36,36,0.321518928,0.24139221,0.486479819,0.559885442,0.630960643,0.513520181,0.118595608,0.127647147,0,0.415249318,0.342417866,1,0.023864586,0.028436266,0,0.094731018,0.064730957,0,0.405235827,0.457345605,0,0.144180045,0.206280187,0,0.023864586,0.028436266,0,0.621462405,0.586807549,1,0.354672998,0.384756207,0,0.321518928,0.559885442,0.118595608,0.321518928,0.559885442,0.118595608,0.312380046,0.641161978,0.04645798,0.321518928,0.559885442,0.118595608
