DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,district,h_glucose_all_ma,h_glucose_ur_ma,h_glucose_ru_ma,hh_glucose_all_ma,hh_glucose_ur_ma,hh_glucose_ru_ma,l_glucose_all_ma,l_glucose_ur_ma,l_glucose_ru_ma,h_bp_all_ma,h_bp_ur_ma,h_bp_ru_ma,l_bp_all_ma,l_bp_ur_ma,l_bp_ru_ma,hh_bp_all_ma,hh_bp_ur_ma,hh_bp_ru_ma,hhh_bp_all_ma,hhh_bp_ur_ma,hhh_bp_ru_ma,hhhh_bp_all_ma,hhhh_bp_ur_ma,hhhh_bp_ru_ma,hh_cbp_all_ma,hh_cbp_ur_ma,hh_cbp_ru_ma,h_cbp_all_ma,h_cbp_ur_ma,h_cbp_ru_ma,l_cbp_all_ma,l_cbp_ur_ma,l_cbp_ru_ma
Solan,Himachal Pradesh,2,31,31,0.30997175,0.722713828,0.364742398,0.581282318,0.22543253,0.476088643,0.10874594,0.051853657,0.159168944,0.308296382,0.258830816,0.339153439,0,0,0,0.07983809,0.258830816,0.082747988,0.425923079,0.482338369,0.386752039,0.268608391,0,0.337811738,0.017036365,0,0.031258978,0.648028612,0.482338369,0.674428105,0.334935009,0.517661631,0.294312924
Sirmaur,Himachal Pradesh,2,32,32,0.411579132,0.284900725,0.460550994,0.390640497,0.715099275,0.328491956,0.197780371,0,0.21095705,0.216515973,0.128129616,0.219979718,0,0.063888542,0,0.105232358,0.110136807,0.113425523,0.524334371,0.633260965,0.525604248,0.232089907,0.238609433,0.19909282,0.019402526,0,0.059869695,0.515695333,0.761038005,0.468333036,0.464902133,0.238961965,0.471797258
Shimla,Himachal Pradesh,2,33,33,0.402668744,0.414299905,0.327279687,0.510752439,0.585700095,0.546340704,0.086578839,0,0.126379594,0.207057491,0.351565123,0.28030917,0.028188078,0,0.04114629,0.082041793,0.234134972,0.082458787,0.600025356,0.414299905,0.475386709,0.258772731,0,0.312708348,0.025551774,0,0.037298061,0.555829465,0.409917533,0.582667112,0.418618768,0.590082467,0.380034804
Kinnaur,Himachal Pradesh,2,34,34,0.392115265,,0.400285125,0.574064016,,0.563613653,0.033820719,,0.036101233,0.142182067,,0.11745549,0,,0,0.086065188,,0.071619064,0.603674352,,0.697238028,0.270607859,,0.191493019,0.064683907,,0.034937937,0.498689443,,0.486550659,0.436626643,,0.478511423
Gurdaspur,Punjab,3,35,35,0.431822717,0.453170925,0.344918281,0.459796637,0.546829104,0.393345922,0.108380668,0,0.261735797,0.13402161,0,0.219157994,0.106043063,0,0.172091722,0.269705951,0.332000881,0.213481486,0.381205887,0.516942143,0.34722054,0.19895491,0.151056975,0.267206252,0.043683916,0,0.128062531,0.735968471,0.848943055,0.615812421,0.220347598,0.151056975,0.256125063
Kapurthala,Punjab,3,36,36,0.312380046,0.188870743,0.35403046,0.641161978,0.811129272,0.526965022,0.04645798,0,0.119004548,0.321075261,0.336250246,0.323852062,0,0,0.031854119,0.163173199,0,0.141678214,0.380204707,0.472584814,0.394996196,0.217849627,0.296546668,0.178380549,0,0,0,0.715791464,0.4582555,0.794996798,0.284208536,0.54174453,0.205003202
Jalandhar,Punjab,3,37,37,0.533245265,0.272722483,0.446341842,0.466754735,0.689542949,0.404974878,0,0.037734557,0.14868328,0.209126145,0.083999127,0.267746687,0.05425423,0,0.059531711,0.152527854,0.059870359,0.211645439,0.40862757,0.780661404,0.252861172,0.203208342,0.079734117,0.267746687,0.133126274,0.037734557,0,0.635391831,0.569802225,0.64967066,0.23148191,0.392463207,0.350329369
Hoshiarpur,Punjab,3,38,38,0.455550253,0.132366389,0.287528008,0.481006086,0.867633641,0.553346574,0.063443661,0,0.159125403,0.234834462,0.268869191,0.275745392,0,0,0,0.230094969,0.132366389,0.057053495,0.451347053,0.59876442,0.553196192,0.111768551,0.193392426,0.159125403,0,0,0,0.666260898,0.594627976,0.832081616,0.333739132,0.405371994,0.167918399
Shahid Bhagat Singh Nagar,Punjab,3,39,39,0.278018951,0.265475482,0.350468487,0.651274264,0.734524548,0.536341131,0.070706792,0,0.11319036,0.384623021,0,0.308403194,0,0,0,0.135978669,0.265475482,0.102522708,0.415935308,0.530950963,0.470202237,0.099360287,0.469049037,0.199412137,0.035897296,0,0.038634289,0.721601844,0.796426415,0.759241045,0.242500842,0.203573555,0.20212464
Fatehgarh Sahib,Punjab,3,40,40,0.447946817,0.518072426,0.500424981,0.511609554,0.402839363,0.402890712,0.040443636,0.079088233,0.096684337,0.179224685,0.431705981,0.191073999,0,0,0.046861697,0.083948918,0.079088233,0.087167993,0.451574564,0.259219289,0.453344345,0.3898004,0.229986504,0.263290912,0,0,0.046861697,0.686867654,0.589882433,0.575479448,0.313132346,0.410117567,0.377658844
Ludhiana,Punjab,3,41,41,0.334736198,0.148668319,0.334348172,0.610066772,0.764896095,0.528863251,0.055197053,0.086435564,0.136788607,0.335931212,0.174885809,0.142752692,0,0.158625662,0,0.184659705,0.088450253,0.136788607,0.24993594,0.419412613,0.589078128,0.254914552,0.317251325,0.321880072,0.128176093,0.158625662,0.064230487,0.683245957,0.614587963,0.727690399,0.188577965,0.226786375,0.208079144
Moga,Punjab,3,42,42,0.177379265,0.494098276,0.207615629,0.768635213,0.505901754,0.759977579,0.053985532,0,0.032406777,0.117738239,0,0.131139979,0.027604323,0,0.067859158,0.102777883,0.494098276,0.172247708,0.661380112,0.505901754,0.52803421,0.184202462,0.505901754,0.212058976,0,0,0,0.809789181,1,0.711962223,0.190210849,0,0.288037807
Firozpur,Punjab,3,43,43,0.256057441,0,0.236945421,0.70373857,1,0.681131303,0.040203962,0,0.081923269,0.12147633,0,0.204221055,0,0,0,0.058087386,0,0.039662652,0.630974174,0.25,0.519083023,0.35047552,1,0.361573815,0.01772269,0,0.04243895,0.743873894,1,0.676394403,0.238403395,0,0.281166673
Muktsar,Punjab,3,44,44,0.414903015,0.24884668,0.368389457,0.540489376,0.65104723,0.631610513,0.04460758,0.100106068,0,0.196508422,0.24884668,0.103079252,0,0,0,0.085141666,0.176783025,0.110565029,0.488188267,0.574370325,0.539449871,0.343768477,0.225417554,0.29356271,0.025348604,0,0.034991842,0.667906463,0.774582446,0.775944054,0.306744933,0.225417554,0.189064115
Faridkot,Punjab,3,45,45,0.316827863,0.206233904,0.081446722,0.670429289,0.761186898,0.900897264,0.012742827,0.032579225,0.017656036,0.18288362,0.114455178,0.084891148,0,0,0,0.006178653,0.032579225,0.39276439,0.635788381,0.749952734,0.325148612,0.210570052,0.185713366,0.39108175,0.129369453,0,0.016028771,0.771170974,0.818353593,0.899080098,0.099459566,0.181646422,0.084891148
Bathinda,Punjab,3,46,46,0.475402027,0.297519565,0.411768317,0.524598002,0.702480435,0.572303832,0,0,0.015927887,0.176651686,0.141086996,0.188919112,0,0,0.015927887,0.128368437,0.099964209,0.156973124,0.584121823,0.758948803,0.545638382,0.189405054,0.117628612,0.253123611,0.030000415,0,0,0.70397526,0.718277812,0.811080873,0.266024321,0.281722218,0.188919112
Mansa,Punjab,3,47,47,0.255199999,0.371973991,0.203048229,0.686944962,0.628026009,0.712545097,0.057855025,0,0.084406652,0.199528649,0.254656613,0.123082645,0,0,0,0.083272956,0,0.040432598,0.494971693,0.256052047,0.670320451,0.368452013,0.48929134,0.33743912,0.0277138,0.11871279,0.080865197,0.79920125,0.763969839,0.665922046,0.173084944,0.117317364,0.25321278
Patiala,Punjab,3,48,48,0.297162741,0.617726862,0.334666669,0.66098541,0.333461463,0.665333331,0.041851882,0.0488117,0,0.184281528,0.332692713,0,0,0,0,0.103080399,0.137830287,0.223793626,0.531789422,0.383041918,0.776206374,0.289195448,0.381888777,0.105799437,0.048870515,0,0.117994189,0.670377493,0.373668343,0.78332752,0.280752003,0.626331687,0.098678291
Amritsar,Punjab,3,49,49,0.394980043,0.430139214,0.274397641,0.47734496,0.441023976,0.612181723,0.127674982,0.128836811,0.113420621,0.122078933,0.170668423,0.174288198,0,0,0,0.085340217,0.175547987,0.135228738,0.602900386,0.588008761,0.554015458,0.250795215,0.199701175,0.239095941,0.030058952,0,0,0.778230548,0.761053979,0.700036466,0.191710472,0.23894605,0.299963504
Tarn Taran,Punjab,3,50,50,0.334540337,0.25,0.392299801,0.638270497,0.75,0.540810525,0.027189199,0,0.066889651,0.204466239,0,0.264864653,0,0,0,0.083960824,0.25,0.143058255,0.492150009,0.75,0.340290487,0.282730907,0,0.461215883,0.029580528,0,0.208052114,0.64643538,1,0.625840127,0.323984116,0,0.166107744
Rupnagar,Punjab,3,51,51,0.418015659,0.343582094,0.519281626,0.499751687,0.541388333,0.411603361,0.082232662,0.115029559,0.069114998,0.216375947,0.168566599,0.146231443,0,0,0,0.119552374,0.288538456,0.275302857,0.571487665,0.542894959,0.500651121,0.092584036,0,0.077814579,0.038056526,0,0.03795822,0.656319976,0.77144748,0.74971664,0.305623502,0.228552535,0.212325171
Sahibzada Ajit Singh Nagar,Punjab,3,52,52,0.329924345,0.263248771,0.5,0.531586528,0.340689808,0.5,0.138489127,0.39606142,0,0.158056572,0.228573889,0,0,0,0,0.057419881,0.099168241,0,0.597760379,0.508881688,1,0.465963662,0.221110269,0,0.046024296,0.095815979,0,0.84422183,0.688788533,0.5,0.109753899,0.21539551,0.5
Sangrur,Punjab,3,53,53,0.396804631,0.169275552,0.402416587,0.54518497,0.830724478,0.532206833,0.058010414,0,0.06537661,0.160185516,0.084637776,0.109618858,0,0,0.045680806,0.040301975,0.144167662,0.045680806,0.487834364,0.592787027,0.452275246,0.546797037,0.338873744,0.562602878,0.026946096,0,0.187224239,0.533896804,0.746086657,0.44774124,0.439157099,0.253913313,0.365034521
Barnala,Punjab,3,54,54,0.330179304,0.123476624,0.145912498,0.640093505,0.876523376,0.854087532,0.0297272,0,0,0.035881277,0,0,0,0,0,0.030771717,0,0.063820526,0.793252289,0.871477127,0.627323151,0.354940027,0.625999749,0.308856308,0.145871565,0,0.080851845,0.508517087,0.624523818,0.590187609,0.345611364,0.375476152,0.328960538
Chandigarh,Chandigarh,4,55,55,0.330292374,0.360580862,,0.55814153,0.497939348,,0.111566134,0.141479775,,0.24510318,0.254524976,,0.080866754,0.046183798,,0.085572295,0.052085292,,0.442398578,0.516897917,,0.217462271,0.219858855,,0.036824502,0.046183798,,0.43337056,0.435406268,,0.529804945,0.518409908,
Uttarkashi,Uttarakhand,5,56,56,0.507332683,1,0.314697564,0.422762126,0,0.644925714,0.069905207,0,0.040376745,0.373388141,0,0.315311819,0,0,0.026000103,0.049859151,0,0.202080965,0.426259339,0,0.326356679,0.225516737,1,0.19773607,0,0,0.041485522,0.531715453,0,0.65109551,0.468284547,1,0.307419002
Chamoli,Uttarakhand,5,57,57,0.51355207,0.644453347,0.529563546,0.328233033,0.355546683,0.423685133,0.158214897,0,0.046751294,0.238003299,0,0.248957813,0,0.177773342,0,0.096215338,0,0.051536493,0.665781379,0.355546683,0.608074725,0,0.46667999,0.144021928,0,0,0,0.50054729,0.177773342,0.600631475,0.49945271,0.822226644,0.399368525
Rudraprayag,Uttarakhand,5,58,58,0.405940235,0.5,0.385279149,0.330248833,0.5,0.481575727,0.263810933,0,0.133145139,0.195055827,0,0.309449852,0,0,0.047112074,0,0,0.040110882,0.656526625,1,0.504658103,0.262414366,0,0.159264073,0,0,0,0.426680744,0.5,0.478050888,0.573319256,0.5,0.521949112
Tehri Garhwal,Uttarakhand,5,59,59,0.102147304,0,0.488753051,0.773235619,1,0.471438736,0.124617092,0,0.039808217,0.126368463,0,0.472185194,0,0,0,0.233627796,0,0.037456524,0.588054419,1,0.490358293,0.051949333,0,0.080337696,0,0.182114005,0,0.746961653,0.817885995,0.464394927,0.253038347,0,0.535605073
Dehradun,Uttarakhand,5,60,60,0.286109656,0.310526192,0.358247191,0.615880251,0.636980474,0.641752839,0.098010115,0.052493352,0,0.293556392,0.19053258,0.239851266,0.01975145,0.016894935,0,0.151834697,0.021884233,0.179189429,0.389953852,0.669101536,0.424525768,0.231875166,0.22288616,0.214357868,0.006747025,0.016894935,0,0.645162642,0.408575654,0.562328398,0.348090321,0.574529409,0.437671572
Garhwal,Uttarakhand,5,61,61,0.402128845,0.716236651,0.470354289,0.327784419,0.283763379,0.447847247,0.270086706,0,0.081798464,0.196670651,0.358118325,0.165134147,0,0,0.083434448,0.198380873,0.358118325,0.052235663,0.469905138,0.283763379,0.579577386,0.204761922,0.283763379,0.415272087,0.065672927,0,0.041757651,0.66389221,1,0.539670706,0.270434856,0,0.418571681
Pithoragarh,Uttarakhand,5,62,62,0.47050637,0.503252208,0.38660866,0.434591055,0.496747792,0.61339134,0.094902553,0,0,0.283787638,0,0.133767471,0.041532025,0,0,0.04917587,0.337341368,0,0.577911973,0.491228104,0.866232514,0.140911713,0.171430528,0.120679528,0,0.171430528,0.120679528,0.571753085,0.828569472,0.630429983,0.428246945,0,0.248890519
Bageshwar,Uttarakhand,5,63,63,0.74518472,0.666666687,0.541470051,0.061665457,0,0.328644603,0.193149805,0.333333343,0.129885361,0.295980453,0,0.221266627,0,0,0,0.193149805,0,0.188548014,0.294188738,0.666666687,0.394992501,0.216680989,0.333333343,0.195192859,0,0,0.051659856,0.566638052,0,0.588823915,0.433361977,1,0.359516263
Almora,Uttarakhand,5,64,64,0.263664901,0.614542067,0.32492426,0.736335099,0.192728952,0.675075769,0,0.192728952,0,0.146053672,0.403635532,0.143411979,0,0,0,0.235222444,0.210906565,0.130885378,0.348877996,0.192728952,0.469329029,0.269845903,0.192728952,0.396321952,0,0,0.065191165,0.35901466,0.614542067,0.392134339,0.64098531,0.385457903,0.542674482
Champawat,Uttarakhand,5,65,65,0.48495701,0.456171304,0.25983724,0.44819513,0.543828666,0.74016273,0.066847868,0,0,0.227568045,0,0.352160573,0.115406141,0,0,0.050993416,0,0.128164917,0.606032431,1,0.391509593,0.299863279,0.543828666,0.128164917,0,0,0,0.662748396,0.543828666,0.74016273,0.337251604,0.456171304,0.25983724
Nainital,Uttarakhand,5,66,66,0.361081094,0.626352429,0.47243908,0.637101173,0.330917597,0.499707371,0.001817764,0.042729992,0.027853552,0.224112839,0.231230468,0.258685321,0.016437553,0,0.032216508,0.15825735,0.171274051,0.131876618,0.466612101,0.416252047,0.465435147,0.185172454,0.22792989,0.186021805,0.060546778,0.063397467,0,0.509727657,0.407342345,0.769309044,0.429725558,0.529260159,0.230690956
Udham Singh Nagar,Uttarakhand,5,67,67,0.427795321,0.20684205,0.446389616,0.448334783,0.661662817,0.483000964,0.123869888,0.131495148,0.070609443,0.235618502,0.134084433,0.328883797,0.012871937,0,0,0.118712522,0.044532742,0.04597494,0.465556383,0.599780202,0.510653496,0.246469393,0.433403552,0.157329902,0.013361669,0.044532742,0.042257331,0.570383668,0.729728043,0.507191479,0.416254699,0.225739211,0.450551212
